mdb_slug,fare_type,fare_times,transfers_allowed,fare_duration
virginia-alexandria-transit-company-dash-482,flat,fixed,-1,-1
virginia-arlington-transit-485,flat,fixed,-1,7200
maryland-calvert-county-public-transportation-480,flat,fixed,,
maryland-charles-county-vango-479,flat,fixed,,
district-of-columbia-dc-circulator-486,flat,fixed,,
district-of-columbia-dc-streetcar-487,flat,fixed,,
virginia-fairfax-connector-483,flat,fixed,,
virginia-fairfax-cue-bus-cue-484,flat,fixed,,
virginia-fredericksburg-regional-transit-1299,flat,fixed,,
virginia-loudoun-county-transit-1053,flat,fixed,-1,-1
maryland-frederick-county-transit-498,flat,fixed,,
maryland-maryland-transit-administration-local-bus-466,flat,fixed,,
maryland-maryland-transit-administration-commuter-bus-467,flat,fixed,0,-1
maryland-maryland-transit-administration-marc-train-468,zonal,fixed,0,-1
maryland-maryland-transit-administration-light-rail-469,flat,fixed,,
maryland-maryland-transit-administration-metro-subway-metro-subwaylink-470,flat,fixed,,
maryland-montgomery-county-department-of-transportation-ride-on-488,flat,fixed,,
virginia-potomac-and-rappahannock-transportation-commission-prtc-omniride-1156,flat,fixed,,
maryland-prince-george-s-county-the-bus-477,flat,fixed,,
maryland-regional-transportation-agency-of-central-maryland-rta-489,flat,fixed,,
virginia-virginia-railway-express-vre-478,zonal,fixed,,
district-of-columbia-washington-metropolitan-area-transit-authority-wmata-bus-1846,flat,fixed,,
district-of-columbia-washington-metropolitan-area-transit-authority-wmata-rail-1847,zonal,dynamic,,