week_of,region,WEDAM,WEDPM,SATAM,status
2020-02-24,WAS,2020-02-26 07:00:00,2020-02-26 21:00:00,2020-02-29 10:00:00,planned
2020-03-16,WAS,2020-03-18 07:00:00,2020-03-18 21:00:00,2020-03-21 10:00:00,planned
2020-04-20,WAS,2020-04-22 07:00:00,2020-04-22 21:00:00,2020-04-25 10:00:00,planned
2020-05-11,WAS,2020-05-13 07:00:00,2020-05-13 21:00:00,2020-05-16 10:00:00,planned
2020-06-22,WAS,2020-06-24 07:00:00,2020-06-24 21:00:00,2020-06-27 10:00:00,planned
2020-07-20,WAS,2020-07-22 07:00:00,2020-07-22 21:00:00,2020-07-25 10:00:00,planned
2020-08-17,WAS,2020-08-19 07:00:00,2020-08-19 21:00:00,2020-08-22 10:00:00,planned
2020-09-21,WAS,2020-09-23 07:00:00,2020-09-23 21:00:00,2020-09-26 10:00:00,planned
2020-10-19,WAS,2020-10-21 07:00:00,2020-10-21 21:00:00,2020-10-24 10:00:00,planned
2020-11-16,WAS,2020-11-18 07:00:00,2020-11-18 21:00:00,2020-11-21 10:00:00,planned
2020-12-21,WAS,2020-12-23 07:00:00,2020-12-23 21:00:00,2020-12-26 10:00:00,planned
2021-01-18,WAS,2021-01-20 07:00:00,2021-01-20 21:00:00,2021-01-23 10:00:00,planned
2021-02-22,WAS,2021-02-24 07:00:00,2021-02-24 21:00:00,2021-02-27 10:00:00,planned
2021-07-12,WAS,2021-07-14 07:00:00,2021-07-14 21:00:00,2021-07-17 10:00:00,planned
2021-09-12,WAS,2021-09-14 07:00:00,2021-09-14 21:00:00,2021-09-17 10:00:00,planned
2022-03-28,WAS,2022-03-30 07:00:00,2022-03-30 21:00:00,2022-04-02 10:00:00,planned
2022-08-08,WAS,2022-08-10 07:00:00,2022-08-10 21:00:00,2022-08-13 10:00:00,planned
2023-03-27,WAS,2023-03-29 07:00:00,2023-03-29 21:00:00,2023-04-01 10:00:00,planned
2023-09-26,WAS,2023-09-28 07:00:00,2023-09-28 21:00:00,2023-10-01 10:00:00,planned